text,sentiment,cleaned_text,label
yesssss they have came to my rescue plenty of times !!!! the only ones I call,2,yesssss they have came to my rescue plenty of times the only ones i call,1
Kohinoor ji,2,kohinoor ji,1
Nice to use,2,nice to use,1
good app,2,good app,1
It runs well,2,it runs well,1
The best how I post my day everyday🙂,2,the best how i post my day everyday,1
Video,2,video,1
"delicious and creative coffees & food. Great vibe, the best staff around, always friendly, outgoing & courteous. my cery favorite place.",2,delicious and creative coffees food great vibe the best staff around always friendly outgoing courteous my cery favorite place,1
thank you for Facebook team well done,2,thank you for facebook team well done,1
nice,2,nice,1
It is a really good app I really love mark Zuckerberg for what he have done to stop scammers in the world. ❤️❤️,2,it is a really good app i really love mark zuckerberg for what he have done to stop scammers in the world,1
Raja Shani carefully used,2,raja shani carefully used,1
nice,2,nice,1
really incredible experience working editor..gud server flanline Windsor..,2,really incredible experience working editorgud server flanline windsor,1
great Facebook team,2,great facebook team,1
Good job,2,good job,1
Kupal kaba?? Hahshs,2,kupal kaba hahshs,1
excellent,2,excellent,1
good,2,good,1
good,2,good,1
Very nice platform 👍,2,very nice platform,1
Still learning more about it,2,still learning more about it,1
Md Babul,2,md babul,1
"Fantastic i love this , very fast and fuons",2,fantastic i love this very fast and fuons,1
very good platform,2,very good platform,1
Nice 🙂🙂,2,nice,1
Mast,2,mast,1
good,2,good,1
Jijijijinijijijikijkk KKK to the same time I will get it tomorrow or Friday of this is the link below 👇 the same as the link below to continue watching this is a good to see u in a good 👍 the best for your,2,jijijijinijijijikijkk kkk to the same time i will get it tomorrow or friday of this is the link below the same as the link below to continue watching this is a good to see u in a good the best for your,1
By err by by p is be all,2,by err by by p is be all,1
Okey!!,2,okey,1
Nice Facebook,2,nice facebook,1
Very good,2,very good,1
lots of love,2,lots of love,1
A wonderful community,2,a wonderful community,1
Facebook is ok. they can do better by stopping hackers from Facebook.,2,facebook is ok they can do better by stopping hackers from facebook,1
good,2,good,1
wow so beautiful,2,wow so beautiful,1
Good,2,good,1
beautiful ❤️❤️❤️,2,beautiful,1
A gl Kim a OO July I I'llhi bub l him oio III III in mīku III iikih KqqQkaaqaaaaaaaaao Oki aa K Qp Is it OK p by funny K /,2,a gl kim a oo july i illhi bub l him oio iii iii in mīku iii iikih kqqqkaaqaaaaaaaaao oki aa k qp is it ok p by funny k,1
she's so beautiful,2,shes so beautiful,1
it's so beautiful and I can't say anything,2,its so beautiful and i cant say anything,1
Donkey 🦛,2,donkey,1
ফেসবুক বর্তমান আমাদের জন্য অনেক উন্নত ফেসবুক চালিয়ে আমি অনেক উপকৃত তাই কোম্পানিকে আমার পক্ষ থেকে অনেক ধন্যবাদ,2,ফসবক বরতমন আমদর জনয অনক উননত ফসবক চলয আম অনক উপকত তই কমপনক আমর পকষ থক অনক ধনযবদ,1
Excellent work,2,excellent work,1
Please unblock my Facebook id,2,please unblock my facebook id,1
good,2,good,1
i love it,2,i love it,1
good morning,2,good morning,1
"fear way to find friends""a& stars",2,fear way to find friendsa stars,1
"Transfering to App, as mobile browsing script execution legs, but very useful while in-active! Clearing service connections that I may be notified of interest which matter, sharing important ℹ️ with my contacts on demand 🎯👇📢",2,transfering to app as mobile browsing script execution legs but very useful while inactive clearing service connections that i may be notified of interest which matter sharing important ℹ with my contacts on demand,1
plz unlock my fb id,2,plz unlock my fb id,1
happy,2,happy,1
Good,2,good,1
Pas kii,2,pas kii,1
good,2,good,1
good,2,good,1
Very good.,2,very good,1
Good,2,good,1
I Really this is the best aPp so AmAzInG😘😘,2,i really this is the best app so amazing,1
জন্য পীচ,2,জনয পচ,1
Nice pic,2,nice pic,1
Vikas Kumar,2,vikas kumar,1
Good,2,good,1
super,2,super,1
"I've always considered myself as one who sees in the darkness, I am ever soo keen on picking up the need for the LIGHT!, I AM a light unto this world! I love greatly and profoundly , I LOVE YOU♥️.",2,ive always considered myself as one who sees in the darkness i am ever soo keen on picking up the need for the light i am a light unto this world i love greatly and profoundly i love you,1
better.,2,better,1
Good,2,good,1
Great 👍,2,great,1
Nice,2,nice,1
Jay Shri Ram 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,2,jay shri ram,1
Tikeshwar.piakara,2,tikeshwarpiakara,1
verry intarest apps,2,verry intarest apps,1
Very nice,2,very nice,1
thank you,2,thank you,1
masallah,2,masallah,1
Great app and efficient,2,great app and efficient,1
good,2,good,1
👍 good,2,good,1
nice app,2,nice app,1
Supar,2,supar,1
very good 👍,2,very good,1
the subtle art of living yay young woman Life,2,the subtle art of living yay young woman life,1
Ahkch,2,ahkch,1
I'm happy ☘️🎉,2,im happy,1
important for me to keep up with friends and family,2,important for me to keep up with friends and family,1
good,2,good,1
Awesome 👍,2,awesome,1
Valo,2,valo,1
o s m,2,o s m,1
Excellent way to keep in touch with family friends and acquaintances.,2,excellent way to keep in touch with family friends and acquaintances,1
best,2,best,1
awesome,2,awesome,1
Good,2,good,1
It's so cool,2,its so cool,1
Good job,2,good job,1
re opening,2,re opening,1
perfect 🥰👍👍🥰🥰,2,perfect,1
Very good for and best app in the social net work,2,very good for and best app in the social net work,1
good,2,good,1
Hackers? Not to me but others.,2,hackers not to me but others,1
nice,2,nice,1
kannada,2,kannada,1
okkk,2,okkk,1
Facebook is my favourite apps,2,facebook is my favourite apps,1
very good app,2,very good app,1
nice,2,nice,1
Good 👍😊👍,2,good,1
It’s a Nice app,2,its a nice app,1
good,2,good,1
nice,2,nice,1
Perfect,2,perfect,1
geyotj wog5kog,2,geyotj wog5kog,1
Thank you 🥰🥰,2,thank you,1
excellent,2,excellent,1
very good,2,very good,1
Mi by mi Mi CB,2,mi by mi mi cb,1
Allah is best,2,allah is best,1
Good,2,good,1
Good,2,good,1
Good,2,good,1
good 👍👍👍👍,2,good,1
Good,2,good,1
yes they do! God Bless you!!! ❤❤❤❤❤❤,2,yes they do god bless you,1
very very nice,2,very very nice,1
Excellent,2,excellent,1
good,2,good,1
best,2,best,1
I love it. Thank you.,2,i love it thank you,1
Nice,2,nice,1
I like it,2,i like it,1
Always,2,always,1
I'm interested,2,im interested,1
best,2,best,1
Ha I am Shivam boss,2,ha i am shivam boss,1
very nice 👌,2,very nice,1
jai shree Ram,2,jai shree ram,1
Wow apee,2,wow apee,1
best social media,2,best social media,1
supar,2,supar,1
animal and nature info good,2,animal and nature info good,1
The food is great and the people are greater! This is a great addition to Calhoun.,2,the food is great and the people are greater this is a great addition to calhoun,1
love you,2,love you,1
Nise,2,nise,1
it is like a good day to all beautiful ❤️ levender,2,it is like a good day to all beautiful levender,1
Thanks 🙏 Facebook Team,2,thanks facebook team,1
so cute 😍 💓 💗,2,so cute,1
good,2,good,1
Nice,2,nice,1
this is a sweet video. love it,2,this is a sweet video love it,1
Love,2,love,1
So nice this app,2,so nice this app,1
Free fire 🔥,2,free fire,1
good,2,good,1
Good,2,good,1
यरथथ,2,यरथथ,1
Excellent 👍🏼,2,excellent,1
"One of the best apps for communicating with others and keeping track of your family's lives, I would highly recommend it to anyone.",2,one of the best apps for communicating with others and keeping track of your familys lives i would highly recommend it to anyone,1
This app has everything you a looking for I love this app. Every features are great,2,this app has everything you a looking for i love this app every features are great,1
good,2,good,1
besmiallah afghan ml,2,besmiallah afghan ml,1
best app,2,best app,1
good app,2,good app,1
good 👍🏻,2,good,1
Public,2,public,1
good,2,good,1
Mashallah,2,mashallah,1
Wonderful app,2,wonderful app,1
good 👍,2,good,1
nice,2,nice,1
Kuch nhe,2,kuch nhe,1
Good hope the Asia Cup final report the neymr,2,good hope the asia cup final report the neymr,1
Very good app,2,very good app,1
good 😊👍👍,2,good,1
شاهد,2,شاهد,1
How to update,2,how to update,1
good,2,good,1
Fb light,2,fb light,1
fantastic,2,fantastic,1
Nice,2,nice,1
it's amazing. i love it...,2,its amazing i love it,1
Always asking for password and alwasw hacke my profile,2,always asking for password and alwasw hacke my profile,1
Good Application,2,good application,1
Facebook is such a nice app I love it,2,facebook is such a nice app i love it,1
This app is very well. This app is very intertainmen,2,this app is very well this app is very intertainmen,1
Best social media app,2,best social media app,1
Because super beautiful,2,because super beautiful,1
Very Good,2,very good,1
"poiuy Lkjh, good site",2,poiuy lkjh good site,1
so good,2,so good,1
Videos option,2,videos option,1
Very m!4 Ollyr,2,very m4 ollyr,1
nice,2,nice,1
Good,2,good,1
good,2,good,1
is good not always but i com not alow,2,is good not always but i com not alow,1
good,2,good,1
"I like Facebook because it does so many different things, you can find love one's play casino games, play different types of games etc...",2,i like facebook because it does so many different things you can find love ones play casino games play different types of games etc,1
yadav,2,yadav,1
love being in touch with family and friends,2,love being in touch with family and friends,1
Good,2,good,1
not competitive,2,not competitive,1
love,2,love,1
good app,2,good app,1
tubolbol,2,tubolbol,1
cool,2,cool,1
Good,2,good,1
nice! 👍,2,nice,1
Good,2,good,1
Facebook thanks my profile 5k Mayank pakira (pagol comady😁),2,facebook thanks my profile 5 k mayank pakira pagol comady,1
Naci aap,2,naci aap,1
Nice,2,nice,1
Good 👍,2,good,1
Interesting,2,interesting,1
"Facebook is the best line of communication it beats the telephone, allowing a personal connection.",2,facebook is the best line of communication it beats the telephone allowing a personal connection,1
Nice app,2,nice app,1
this app is vary good,2,this app is vary good,1
very good,2,very good,1
Quick a-);&*!,2,quick a,1
Like,2,like,1
Great,2,great,1
I like so much 😍,2,i like so much,1
rijwan,2,rijwan,1
amazing app,2,amazing app,1
Good app,2,good app,1
good,2,good,1
Very good,2,very good,1
very nice,2,very nice,1
l like it,2,l like it,1
nice,2,nice,1
Facebook is supposed to be a place to meet new people at the same time connecting with the people you already know don't know why they have such a big fit about or do you know this person when hero long is supposed to be a platform to meet new people stay connected with the whole world,2,facebook is supposed to be a place to meet new people at the same time connecting with the people you already know dont know why they have such a big fit about or do you know this person when hero long is supposed to be a platform to meet new people stay connected with the whole world,1
great looking it,2,great looking it,1
Excellent,2,excellent,1
good app,2,good app,1
Best online platform,2,best online platform,1
Awesome,2,awesome,1
it's helpful,2,its helpful,1
Believe it will be better,2,believe it will be better,1
Good,2,good,1
Thank you 💕,2,thank you,1
I love you shee,2,i love you shee,1
good,2,good,1
best of world social MEDIA,2,best of world social media,1
great app,2,great app,1
it's alright. just the same news feed everytime,2,its alright just the same news feed everytime,1
Itz too good.,2,itz too good,1
very nice,2,very nice,1
excellent,2,excellent,1
its all about trading,2,its all about trading,1
i love facebook platform 🥰🥰🥰,2,i love facebook platform,1
Good money maker,2,good money maker,1
good,2,good,1
dope,2,dope,1
I liked,2,i liked,1
Good,2,good,1
Good luck,2,good luck,1
Sarath,2,sarath,1
ayos,2,ayos,1
sondol pakwe,2,sondol pakwe,1
good,2,good,1
👍 nice,2,nice,1
Ningappachannegowda,2,ningappachannegowda,1
bhut acha,2,bhut acha,1
Very good jobs...,2,very good jobs,1
Excellent,2,excellent,1
nice,2,nice,1
Experience good,2,experience good,1
Dp hn BP super,2,dp hn bp super,1
I love this app because of its efficiency. It's help me connect with friends and family,2,i love this app because of its efficiency its help me connect with friends and family,1
Please my facebook account login Mobile number OTP send me please Gmail id block Ho Gaya hai,2,please my facebook account login mobile number otp send me please gmail id block ho gaya hai,1
nice 👍,2,nice,1
Nice,2,nice,1
good,2,good,1
Good app very convenient,2,good app very convenient,1
FABULOUS,2,fabulous,1
Good job,2,good job,1
good,2,good,1
Good,2,good,1
outstanding,2,outstanding,1
Good APP,2,good app,1
nice,2,nice,1
Nice,2,nice,1
. 1122,2,1122,1
good,2,good,1
"The facebook oct 2024, is useless because the video is not work automatic on the reels,😭😭very sad",2,the facebook oct 2024 is useless because the video is not work automatic on the reelsvery sad,1
Good,2,good,1
Nice,2,nice,1
it's good,2,its good,1
Good app,2,good app,1
everything's great,2,everythings great,1
nice 🙂👍🙂👍 side,2,nice side,1
Best platform facebook team please my Facebook page viral,2,best platform facebook team please my facebook page viral,1
sweet dreams lol it's a good app,2,sweet dreams lol its a good app,1
very good app,2,very good app,1
I like the app,2,i like the app,1
Excellent,2,excellent,1
It's easy to find and connect,2,its easy to find and connect,1
good,2,good,1
Good,2,good,1
Why in my phone can't see option of videos,2,why in my phone cant see option of videos,1
pliz varifaid my acound,2,pliz varifaid my acound,1
Nice,2,nice,1
naice,2,naice,1
not in my gallery all video open,2,not in my gallery all video open,1
Awesome,2,awesome,1
जय श्री राम,2,जय शर रम,1
My best app after 4year,2,my best app after 4 year,1
Wonderful 💯. 💕,2,wonderful,1
Please Remove my Restrictions...😂😂,2,please remove my restrictions,1
Proud father of this extrodinary young lady. Facebook friends and family please join me in spreading the love❤️❤️❤️❤️,2,proud father of this extrodinary young lady facebook friends and family please join me in spreading the love,1
nice,2,nice,1
Wonderfull,2,wonderfull,1
good,2,good,1
Good,2,good,1
Good,2,good,1
SD gas Cassfat CDas,2,sd gas cassfat cdas,1
balo laga,2,balo laga,1
۔ 2. تیرے بنا ذکر ہے، میرے دل کی دھڑکن، تیرے ساتھ ہی، میرے دل کی صدا ہے۔,2,2 تیرے بنا ذکر ہے میرے دل کی دھڑکن تیرے ساتھ ہی میرے دل کی صدا ہے,1
Awesome,2,awesome,1
good,2,good,1
best of india,2,best of india,1
Nice,2,nice,1
Wonderful 🫡,2,wonderful,1
social services & friends helping apps,2,social services friends helping apps,1
احمد الله افغون,2,احمد الله افغون,1
great 💯👍,2,great,1
omarkahn,2,omarkahn,1
"Yes, I have started to use Facebook just once a day but not every day. The problem is that I try to log into my other accounts to delete, but it didnt say anything or kept the same. I don't i use it every day than other social apps such as Instagram and TikTok.",2,yes i have started to use facebook just once a day but not every day the problem is that i try to log into my other accounts to delete but it didnt say anything or kept the same i dont i use it every day than other social apps such as instagram and tiktok,1
Good app but net problem my cuntry very slow internet. . some time just loading scoroling. . .,2,good app but net problem my cuntry very slow internet some time just loading scoroling,1
Having bad time with phone and phone number setting on my phone won't let me put in my number into my phone for it to work,2,having bad time with phone and phone number setting on my phone wont let me put in my number into my phone for it to work,1
good p,2,good p,1
Not good at all,2,not good at all,1
Mahesh k,2,mahesh k,1
very fantastic apps thanks for owners 🤩💞,2,very fantastic apps thanks for owners,1
Karan Kumar300,2,karan kumar300,1
Good,2,good,1
A good experience,2,a good experience,1
Mera ID login Kyon Nahin ho raha hai please usko login kar do thank you login kar do please,2,mera id login kyon nahin ho raha hai please usko login kar do thank you login kar do please,1
Awesome,2,awesome,1
amazing,2,amazing,1
Great find and Amazing Pix,2,great find and amazing pix,1
REHAN KHAN 🌟,2,rehan khan,1
very good,2,very good,1
oh how sweet n it's very beautiful ❤️,2,oh how sweet n its very beautiful,1
Superb,2,superb,1
Excellent 👌,2,excellent,1
The best,2,the best,1
جيد جدآ,2,جيد جدآ,1
Goood,2,goood,1
mashallah,2,mashallah,1
i found my wife this Facebook 🙃,2,i found my wife this facebook,1
superb,2,superb,1
very good,2,very good,1
Time will tell you to be rich or die a poor person,2,time will tell you to be rich or die a poor person,1
Best app for many reasons,2,best app for many reasons,1
did not want you are to have any problems 6am,2,did not want you are to have any problems 6 am,1
very good,2,very good,1
Super,2,super,1
Ali Akbar Tahoe on,2,ali akbar tahoe on,1
Good and wonderful,2,good and wonderful,1
Nice,2,nice,1
𝙄 𝙡𝙞𝙠𝙚 𝙣𝙚𝙥𝙖𝙡𝙞 𝙬𝙤𝙧𝙙,2,𝙄 𝙡𝙞𝙠𝙚 𝙣𝙚𝙥𝙖𝙡𝙞 𝙬𝙤𝙧𝙙,1
nice app all bd,2,nice app all bd,1
very good,2,very good,1
xxcxexxxcxxxxहाहहबाआहखहाहहहहहहहहहxqxxxxxdxccxxxxxxककखफाफ,2,xxcxexxxcxxxxहहहबआहखहहहहहहहहहहxqxxxxxdxccxxxxxxककखफफ,1
my facebook is not my control,2,my facebook is not my control,1
Wow so nice to,2,wow so nice to,1
Nice app,2,nice app,1
love 💖💖💖,2,love,1
recommendable,2,recommendable,1
Verry good aap,2,verry good aap,1
Really awesome 👍👍👍👍,2,really awesome,1
interesting,2,interesting,1
Hchcu,2,hchcu,1
Good,2,good,1
good,2,good,1
This is my fav beach the most serene place to find peace.,2,this is my fav beach the most serene place to find peace,1
Anita kumari,2,anita kumari,1
Aashiqali,2,aashiqali,1
very nice app,2,very nice app,1
Best app...,2,best app,1
nice app and more integrated since 2009,2,nice app and more integrated since 2009,1
"Khursid,sk",2,khursidsk,1
Bast app,2,bast app,1
bwangu,2,bwangu,1
Very good social media,2,very good social media,1
good 👍,2,good,1
No words,2,no words,1
Good,2,good,1
Nice,2,nice,1
B.s . Invasive copy infringement,2,bs invasive copy infringement,1
good,2,good,1
Very nice 🙂🙂,2,very nice,1
सुशेर चद़,2,सशर चद,1
"Jjhhh ko JB iuv see, ll look lknn JB cool Kimv ch",2,jjhhh ko jb iuv see ll look lknn jb cool kimv ch,1
oneik valo,2,oneik valo,1
Very good,2,very good,1
Facebook is so hero that to say,2,facebook is so hero that to say,1
LADY BUG🐞,2,lady bug,1
১১১২,2,১১১২,1
nice,2,nice,1
Hallo Facebook,2,hallo facebook,1
My Facebook page is not working,2,my facebook page is not working,1
Better quality,2,better quality,1
very good,2,very good,1
"llove it its help to find long lost family and friend,easy to connect.",2,llove it its help to find long lost family and friendeasy to connect,1
it's very good . . . .,2,its very good,1
This app is really useful and watchfull,2,this app is really useful and watchfull,1
"मेरा Facebook Account मे कुछ Problem आ रहा है, Page isn't available at the moment , Please Solve कर दिजिए इस Account मे मेरा बोहोत कुछ है, ऊपर से मेरा Free Fire Account भी Facebook से Connect था, ₹80,000 का नुक़सान हो जाएगा Please Solve the Problem . 🙏🥺💔",2,मर facebook account म कछ problem आ रह ह page isnt available at the moment please solve कर दजए इस account म मर बहत कछ ह ऊपर स मर free fire account भ facebook स connect थ 80000 क नकसन ह जएग please solve the problem,1
hi im aminul,2,hi im aminul,1
Hit Thanks,2,hit thanks,1
Best communication app in the world.,2,best communication app in the world,1
very useful 😉...,2,very useful,1
I need my Facebook messenger on now,2,i need my facebook messenger on now,1
fantastic,2,fantastic,1
Tik Tok,2,tik tok,1
Good apps,2,good apps,1
শাউয়া মার্কা অ্যাপ 😒,2,শউয মরক অযপ,1
Nice,2,nice,1
सबका भला हो और सब खुश रहे ।,2,सबक भल ह और सब खश रह,1
I think Mark Zuckerberg b what a great awesome man to crazy such a wonderful app.,2,i think mark zuckerberg b what a great awesome man to crazy such a wonderful app,1
Good,2,good,1
Facebook problem how to open,2,facebook problem how to open,1
Yes I know this app is on video and play music,2,yes i know this app is on video and play music,1
"best apps,,",2,best apps,1
Okay,2,okay,1
niccc,2,niccc,1
mast,2,mast,1
Good,2,good,1
cool,2,cool,1
Awesome,2,awesome,1
Efran Hosen Joy বিশ্বের এক নাম্বার মধ্যে আছে ফেসবুক,2,efran hosen joy বশবর এক নমবর মধয আছ ফসবক,1
super,2,super,1
good,2,good,1
it's good and it's bad,2,its good and its bad,1
Very satisfying,2,very satisfying,1
Good,2,good,1
nice,2,nice,1
good,2,good,1
Karna kumar,2,karna kumar,1
Sindhi,2,sindhi,1
Soo good,2,soo good,1
valo,2,valo,1
ok but monetizetion is very hard full,2,ok but monetizetion is very hard full,1
nice,2,nice,1
very good,2,very good,1
nice apps,2,nice apps,1
Works great 👍😸,2,works great,1
lovely day,2,lovely day,1
